Engineering Stress	Engineering Strain
2822389.403	0.234489051
2951865.433	0.234793491
3520049.622	0.235098236
3730146.341	0.235402981
4206501.262	0.2357059
4443517.241	0.236010645
4461915.055	0.236315389
4576650.967	0.236620134
5224238.856	0.236923054
5329442.389	0.237226277
5620352.397	0.237530718
4875386.039	0.237835462
4090995.795	0.238140207
3630588.73	0.238443127
3652410.429	0.23874635
3314492.01	0.239050791
3295980.656	0.239354015
3396779.647	0.239658759
3760252.313	0.2399632
3739676.198	0.240266423
4066116.905	0.240571168
2209493.692	0.240875608
3259183.347	0.241180353
2679634.146	0.241485097
2831941.968	0.241788017
2485069.807	0.24208972
2499722.456	0.242394161
2507519.765	0.242698905
2496557.611	0.24300365
2488061.396	0.243308394
2490439.024	0.243611314
2489193.44	0.243914538
2412428.932	0.244220803
2189236.333	0.244525243
2198516.4	0.244829988
2284607.233	0.245133212
2300280.908	0.245436131
2503497.056	0.245740876
2495771.236	0.24604562
2466768.713	0.246351886
2493017.662	0.246654805
2499682.927	0.246958029
2522908.326	0.247260949
2535988.225	0.247565693
2539029.437	0.247871959
2566415.475	0.248174878
2571194.281	0.248479623
2592698.907	0.248782847
2604567.704	0.249087287
2609583.684	0.249105231
381408759.9	0.024464286
381401709.7	0.024491369
381480261.6	0.024523214
381687555.6	0.024553571
381795469.5	0.024583929
381827154.1	0.024614286
381763023.3	0.024639583
381820544.8	0.02466994
382003604.8	0.024701786
382074104.8	0.024730655
382144845	0.024760714
382210658.6	0.024789583
382267620.1	0.02481994
382500230.3	0.024851786
382595004.5	0.024882143
382663862	0.024910714
382574455.2	0.024937798
382620760.8	0.024968155
382724548.4	0.024998512
382858819	0.025028571
382930761.6	0.02505744
382974944.4	0.025086012
383028620.1	0.025116369
383225660.4	0.02515
383347233	0.02518006
383379598.6	0.025208929
383328086	0.025236012
383325842.3	0.025264583
383462916.7	0.02529494
383609164.9	0.025325298
383703739.2	0.025355655
383766067.2	0.025385714
383788419.4	0.025414583
383950088.7	0.025446429
384116765.2	0.025478274
384178252.7	0.025507143
384116965.9	0.025534226
384064612	0.02556131
384225159.5	0.025593155
384420076.2	0.025623512
384477077.1	0.025653571
384565001.8	0.025683929
384591920.3	0.025712798
384706202.5	0.025744643
384877846.8	0.025775
384943780.5	0.02580506
384921989.2	0.025832143
384881811.8	0.025859226
385002263.4	0.025889583
385157083.3	0.025921429
385262993.7	0.025951786
385339782.3	0.025982143
385351559.1	0.026010714
385420136.2	0.026041071
385631836.9	0.026071429
385707024.2	0.026101786
385762222.2	0.026130357
385672895.2	0.02615744
385767790.3	0.026187798
385911715.1	0.026219643
386034048.4	0.026248512
386093813.6	0.026278571
386122253.6	0.02630744
386137034.9	0.026337798
386384025.1	0.026369643
386459853	0.0264
386511086	0.026428571
386451280.5	0.026455655
386463138	0.026486012
386633579.7	0.026516369
386754070.8	0.026546429
386791443.5	0.026576786
386845160.4	0.026605655
386843958.8	0.026634226
387053376.3	0.026666071
387168860.2	0.026697917
387225219.5	0.026726786
387190971.3	0.026753869
387173466.8	0.02678244
387327205.2	0.026812798
387454265.2	0.026844643
387464359.3	0.026873512
387539506.3	0.026902083
387580164	0.026930655
387780328	0.026964286
387905065.4	0.026994643
387950650.5	0.027025
387918284.1	0.027052083
387876144.3	0.027080655
387998517.9	0.027111012
388133149.6	0.027141369
388181177.4	0.02716994
388253120.1	0.027200298
388258687.3	0.027228869
388409822.6	0.027260714
388596086.9	0.027292857
388653207.9	0.027322917
388640069	0.02735
388571932.8	0.027377083
388691662.2	0.027409226
388807787.6	0.027439286
388895631.7	0.027468155
388970698.9	0.027498512
388980112	0.027527083
389100202.5	0.027558929
389321196.2	0.027590774
389363376.3	0.027619643
389406998.2	0.027648214
389322958.8	0.027675298
389378717.7	0.027705655
389515272.4	0.027736012
389649022.4	0.027767857
389691482.1	0.027796429
389698612	0.027825298
389761741.9	0.027855655
389988303.8	0.0278875
390031685.5	0.027917857
390065693.5	0.027946429
390022352.2	0.027973512
390051793.9	0.028003869
390181297.5	0.028034226
390306795.7	0.028064286
390360272.4	0.028094643
390432614.7	0.028123512
390412866.5	0.028152083
390598129.9	0.028183929
390684652.3	0.028214286
390752949.8	0.028244643
390723267.9	0.028271726
390697190.9	0.028300298
390824330.6	0.028332143
390981634.4	0.0283625
391080254.5	0.028392857
391134130.8	0.028421429
391103166.7	0.028450298
391218330.6	0.028482143
391370786.7	0.0285125
391453384.4	0.028542857
391435358.4	0.02856994
391347714.2	0.028598512
391474094.1	0.028628869
391639849.5	0.028660714
391753731.2	0.028689286
391776683.7	0.028719643
391804362.9	0.028748512
391884476.7	0.028778571
392062409.5	0.028810714
392136595	0.028840774
392166998.2	0.028867857
392119049.3	0.028896726
392163432.8	0.028927083
392320896.1	0.028957143
392437702.5	0.0289875
392451362	0.029016369
392449599.5	0.02904494
392562599.5	0.029075298
392749264.3	0.029107143
392835507.2	0.0291375
392868673.8	0.029167857
392807467.7	0.02919494
392790283.2	0.029223512
392960364.7	0.029255357
393058784.1	0.029284226
393096678.3	0.029314286
393108014.3	0.029343155
393209879	0.029373512
393384847.7	0.029405357
393486271.5	0.029435714
393507341.4	0.029464286
393439084.2	0.029491369
393438923.8	0.02951994
393605000	0.029552083
393745680.1	0.029582143
393754652.3	0.0296125
393813255.4	0.029641369
393837129.9	0.02966994
394040498.2	0.029703571
394125819.9	0.029733631
394141722.2	0.0297625
394118008.1	0.029789583
394074987.5	0.029818155
394215066.3	0.02985
394351940.9	0.029880357
394409783.2	0.029909226
394480964.2	0.029939286
394505518.8	0.029968155
394650284.1	0.03
394773138.9	0.030030357
394776784.1	0.030060714
394794288.5	0.030087798
394777544.8	0.030116369
394858459.7	0.030146726
395037874.6	0.030178571
395144065.4	0.030207143
395205392.5	0.0302375
395216328	0.030267857
395300086.9	0.030298214
395426426.5	0.030328571
395476858.4	0.030357143
395492921.1	0.030385714
395428028.7	0.030412798
395505258.1	0.030443155
395684032.3	0.030475
395781050.2	0.030505357
395860883.5	0.030535714
395832803.8	0.030564286
395892608.4	0.030594643
396056121	0.030625
396125619.2	0.030655357
396131587.8	0.030685417
396077270.6	0.030711012
396122494.6	0.030741369
396277515.2	0.030773214
396391837.8	0.030803571
396437903.2	0.030833929
396449038.5	0.0308625
396428129	0.030889583
396648121.9	0.030923214
396745138.9	0.030953571
396774981.2	0.030982143
396727794.8	0.031009226
396737248.2	0.031039583
396874883.5	0.03106994
396971861.1	0.0311
397026178.3	0.031128869
397085622.8	0.031159226
397069319.9	0.031187798
397290594.1	0.031219643
397384687.3	0.031251488
397458151.4	0.031280357
397407399.6	0.031308929
397363857.5	0.031336012
397447416.7	0.031366369
397614733.9	0.031398214
397664724.9	0.031427083
